区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,京士柏,傲玟 3座 16樓 D室,N/A,06/12/2024,2房,"$1,694 萬",844 呎,"$20,071",露台 | | 工作平台
九龍,京士柏,君頤峰 6座 21樓 C室,N/A,05/12/2024,3房,"$2,356 萬","1,341 呎","$17,569",露台 | | 工作平台
九龍,京士柏,冠德苑 B座(冠盛閣) 17樓 7室,N/A,05/12/2024,3房,$680 萬,563 呎,"$12,078",N/A
九龍,京士柏,高臨 A2座 30樓 F室,N/A,04/12/2024,2房,$867 萬,377 呎,"$22,995",露台 | | 工作平台
九龍,京士柏,建豐閣 6樓 A室,N/A,03/12/2024,2房,$500 萬,370 呎,"$13,514",N/A
九龍,京士柏,太平居 10樓 D室,N/A,03/12/2024,-,$483 萬,320 呎,"$15,094",N/A
九龍,京士柏,高臨 A1座 25樓 A室,N/A,03/12/2024,3房,"$1,859 萬",707 呎,"$26,289",露台 | | 工作平台
九龍,京士柏,高臨 A1座 20樓 C室,N/A,02/12/2024,2房,$937 萬,414 呎,"$22,621",露台 | | 工作平台
九龍,京士柏,金富大廈 15樓 B4室,N/A,02/12/2024,-,$470 萬,466 呎,"$10,086",N/A
九龍,京士柏,高臨 A2座 20樓 C室,N/A,02/12/2024,2房,$910 萬,423 呎,"$21,511",露台 | | 工作平台
九龍,京士柏,皓畋 1座 中層 A室,N/A,01/12/2024,2房,"$23,800",506 呎,$47,露台 | | 工作平台
九龍,京士柏,愛華大廈 低層 D室,N/A,01/12/2024,-,"$38,000","1,109 呎",$34,N/A
九龍,京士柏,皓畋 6座 中層 E室,N/A,30/11/2024,2房,"$27,000",535 呎,$50,露台 | | 工作平台
九龍,京士柏,皓畋 2座 高層 F室,N/A,30/11/2024,2房,"$25,500",595 呎,$43,露台 | | 工作平台
九龍,京士柏,One Homantin 3座 中層 E室,N/A,30/11/2024,2房,"$24,500",513 呎,$48,露台
九龍,京士柏,俊民苑 J座 8樓 3室,N/A,29/11/2024,-,$515 萬,525 呎,"$9,810",N/A
九龍,京士柏,加多利軒 高層 A室,N/A,29/11/2024,2房,"$20,500",389 呎,$53,露台 | | 工作平台
九龍,京士柏,明寓 11&12樓 A室,N/A,29/11/2024,4房,"$8,500 萬","2,722 呎","$31,227",複式 | | 車位
九龍,京士柏,高臨 A1座 27樓 E室,N/A,29/11/2024,2房,$793 萬,378 呎,"$20,979",露台 | | 工作平台
九龍,京士柏,德富強大廈 彌敦道504號 8樓 B室,N/A,29/11/2024,-,$300 萬,328 呎,"$9,146",N/A
九龍,京士柏,君逸山 20樓 A室,N/A,28/11/2024,2房,$720 萬,497 呎,"$14,487",N/A
九龍,京士柏,高臨 A1座 20樓 B室,N/A,28/11/2024,2房,$979 萬,416 呎,"$23,531",露台 | | 工作平台
九龍,京士柏,文安大廈 10樓 A室,N/A,27/11/2024,-,$390 萬,262 呎,"$14,885",N/A
九龍,京士柏,文豪閣 B座 11樓 A室,N/A,27/11/2024,2房,"$1,540 萬","1,151 呎","$13,380",車位
九龍,京士柏,帝庭園 6座 21樓 A室,N/A,26/11/2024,3房,"$1,980 萬","1,215 呎","$16,296",車位 | | 露台
九龍,京士柏,京士柏山 4座 3樓 B室,N/A,26/11/2024,-,"$2,368 萬","1,215 呎","$19,490",車位
九龍,京士柏,冠暉苑 B 座 11樓 15室,N/A,26/11/2024,開放式,$200 萬,291 呎,"$6,873",N/A
九龍,京士柏,明德園 14樓 B室,N/A,25/11/2024,-,"$1,070 萬","1,249 呎","$8,567",N/A
九龍,京士柏,皓畋 9座 中層 E室,N/A,24/11/2024,2房,"$24,700",588 呎,$42,露台 | | 工作平台
九龍,京士柏,芝蘭苑 B室,N/A,23/11/2024,-,"$24,000",826 呎,$29,N/A
九龍,京士柏,帝庭園 6座 高層 B室,N/A,23/11/2024,3房,"$52,000","1,263 呎",$41,N/A
九龍,京士柏,皓畋 1座 7樓 G室,N/A,22/11/2024,2房,$900 萬,579 呎,"$15,544",露台 | | 工作平台
九龍,京士柏,欣圖軒 4座 中層 H室,N/A,22/11/2024,2房,"$17,500",539 呎,$32,N/A
九龍,京士柏,皓畋 10座 6樓 A室,N/A,21/11/2024,3房,"$2,800 萬",943 呎,"$29,692",車位 | | 露台 | | 工作平台
九龍,京士柏,正平大廈 15樓 A室,N/A,21/11/2024,-,$620 萬,590 呎,"$10,508",車位
九龍,京士柏,皓畋 1座 中層 D室,N/A,21/11/2024,2房,"$28,000",671 呎,$42,露台 | | 工作平台
九龍,京士柏,傲玟 1座 17樓 A室,N/A,21/11/2024,3房,"$3,396 萬","1,367 呎","$24,841",露台 | | 工作平台
九龍,京士柏,君逸山 10樓 G室,N/A,20/11/2024,2房,$638 萬,478 呎,"$13,347",N/A
九龍,京士柏,傲玟 3座 23樓 B室,N/A,19/11/2024,3房,"$2,579 萬","1,153 呎","$22,368",露台 | | 工作平台
九龍,京士柏,欣圖軒 2座 17樓 D室,N/A,18/11/2024,3房,$858 萬,725 呎,"$11,834",N/A
九龍,京士柏,俊民苑 J座 11樓 6室,N/A,15/11/2024,-,$591 萬,596 呎,"$9,916",N/A
九龍,京士柏,傲玟 3座 10樓 B室,N/A,15/11/2024,3房,"$2,428 萬","1,153 呎","$21,062",露台 | | 工作平台
九龍,京士柏,皓畋 2座 17樓 F室,N/A,15/11/2024,2房,$965 萬,595 呎,"$16,218",露台 | | 工作平台
九龍,京士柏,雅利德樺臺 21樓 F室,N/A,15/11/2024,-,"$1,062 萬",949 呎,"$11,191",N/A
九龍,京士柏,麗晶樓 20樓 E室,N/A,14/11/2024,-,$738 萬,712 呎,"$10,365",車位 | | 天台
