港島東,鰂魚涌,鯉景灣 B段 逸華閣 中層 F室,N/A,05/08/2024,2房,"$21,000",485 呎,$43,N/A
港島東,鰂魚涌,太古城 海景花園(東) 碧藤閣 中層 C室,N/A,05/08/2024,3房,"$35,500",897 呎,$40,N/A
港島東,鰂魚涌,太古城 觀海台 東海閣 26樓 G室,N/A,05/08/2024,2房,$850 萬,572 呎,"$14,860",N/A
港島東,鰂魚涌,南豐新邨 11座 低層 H室,N/A,03/08/2024,3房,"$20,500",570 呎,$36,N/A
港島東,鰂魚涌,康蕙花園 2座 低層 F室,N/A,03/08/2024,2房,"$18,000",439 呎,$41,N/A
港島東,鰂魚涌,太古城 高山台 富山閣 中層 D室,N/A,03/08/2024,2房,"$24,000",593 呎,$40,N/A
港島東,鰂魚涌,嘉亨灣 5座 高層 H室,N/A,03/08/2024,1房,"$16,500",314 呎,$53,N/A
港島東,鰂魚涌,太古城 高山台 廬山閣 低層 E室,N/A,03/08/2024,3房,"$27,000",670 呎,$40,N/A
港島東,鰂魚涌,南豐新邨 12座 13樓 C室,N/A,02/08/2024,2房,$522 萬,391 呎,"$13,350",N/A
港島東,鰂魚涌,鯉景灣 A段 觀峰閣 低層 B室,N/A,01/08/2024,3房,"$26,582",677 呎,$39,N/A
港島東,鰂魚涌,逸濤灣 一 ( 春瑤軒 ) 低層 A室,N/A,01/08/2024,2房,"$26,000",563 呎,$46,N/A
港島東,鰂魚涌,嘉亨灣 5座 中層 C室,N/A,01/08/2024,3房,"$39,000",749 呎,$52,N/A
港島東,鰂魚涌,太古城 高山台 恆山閣 13樓 C室,N/A,01/08/2024,3房,$830 萬,684 呎,"$12,135",N/A
港島東,鰂魚涌,康蕙花園 1座 中層 C室,N/A,01/08/2024,3房,"$22,000",538 呎,$41,N/A
港島東,鰂魚涌,太古城 海天花園 南天閣 高層 A室,N/A,01/08/2024,2房,"$25,000",592 呎,$42,N/A
港島東,鰂魚涌,康怡花園 Q座 21樓 15室,N/A,01/08/2024,2房,$680 萬,466 呎,"$14,592",N/A
港島東,鰂魚涌,鯉景灣 A段 觀景閣 10樓 G室,N/A,01/08/2024,3房,$978 萬,676 呎,"$14,467",N/A
港島東,鰂魚涌,康怡花園 H座 19樓 11室,N/A,01/08/2024,2房,$680 萬,522 呎,"$13,027",N/A
港島東,鰂魚涌,康怡花園 B座 18樓 12室,N/A,31/07/2024,3房,$878 萬,710 呎,"$12,366",N/A
港島東,鰂魚涌,太古城 高山台 華山閣 中層 G室,N/A,31/07/2024,3房,"$26,000",685 呎,$38,N/A
港島東,鰂魚涌,嘉亨灣 5座 中層 E室,N/A,31/07/2024,2房,"$23,000",494 呎,$47,N/A
港島東,鰂魚涌,鯉景灣 C段 怡昌閣 18樓 C室,N/A,31/07/2024,2房,$525 萬,431 呎,"$12,181",N/A
港島東,鰂魚涌,太古城 金殿臺 元宮閣 17樓 G室,N/A,31/07/2024,2房,$770 萬,580 呎,"$13,276",N/A
港島東,鰂魚涌,太古城 高山台 天山閣 8樓 F室,N/A,30/07/2024,2房,$698 萬,536 呎,"$13,022",N/A
港島東,鰂魚涌,興祥大廈 18樓 G室,N/A,30/07/2024,3房,$380 萬,467 呎,"$8,137",N/A
港島東,鰂魚涌,嘉亨灣 3座 低層 A室,N/A,30/07/2024,3房,"$50,000","1,129 呎",$44,N/A
港島東,鰂魚涌,鯉景灣 A段 觀海閣 5樓 F室,N/A,29/07/2024,2房,$810 萬,583 呎,"$13,894",露台
港島東,鰂魚涌,君豪峰 中層 P室,N/A,28/07/2024,2房,"$22,500",384 呎,$59,露台 | | 工作平台
港島東,鰂魚涌,太古城 安盛台 寶安閣 低層 D室,N/A,28/07/2024,2房,"$25,000",602 呎,$42,N/A
港島東,鰂魚涌,太古城 安盛台 寶安閣 低層 D室,N/A,28/07/2024,2房,"$25,000",602 呎,$42,N/A
港島東,鰂魚涌,康山花園 01座 低層 G室,N/A,27/07/2024,3房,"$20,000",592 呎,$34,N/A
港島東,鰂魚涌,太古城 海景花園(西) 紫樺閣 17樓 B室,N/A,26/07/2024,3房,"$1,660 萬","1,015 呎","$16,355",N/A
港島東,鰂魚涌,太古城 海景花園(西) 紫樺閣 16樓 E室,N/A,26/07/2024,3房,"$1,368 萬",922 呎,"$14,837",N/A
港島東,鰂魚涌,太古城 海天花園 恆天閣 高層 B室,N/A,26/07/2024,3房,"$31,300",714 呎,$44,N/A
港島東,鰂魚涌,南豐新邨 3座 1樓 B室,N/A,26/07/2024,2房,$380 萬,391 呎,"$9,719",N/A
港島東,鰂魚涌,太古城 海天花園 南天閣 19樓 F室,N/A,26/07/2024,3房,"$1,008 萬",646 呎,"$15,604",N/A
港島東,鰂魚涌,太古城 星輝台 耀星閣 低層 B室,N/A,26/07/2024,3房,"$26,000",664 呎,$39,N/A
港島東,鰂魚涌,嘉亨灣 2座 中層 A室,N/A,26/07/2024,3房,"$28,000",662 呎,$42,N/A
港島東,鰂魚涌,君豪峰 高層 A室,N/A,26/07/2024,開放式,"$15,500",234 呎,$66,露台
港島東,鰂魚涌,南豐新邨 07座 高層 H室,N/A,25/07/2024,3房,"$22,000",570 呎,$39,N/A
港島東,鰂魚涌,太古城 海景花園(東) 雅蓮閣 中層 C室,N/A,25/07/2024,3房,"$34,500",897 呎,$38,N/A
港島東,鰂魚涌,海景樓 8樓 3室,N/A,25/07/2024,-,$370 萬,366 呎,"$10,109",N/A
港島東,鰂魚涌,太古城 海景花園(西) 金楓閣 低層 D室,N/A,25/07/2024,3房,"$35,000",922 呎,$38,N/A
港島東,鰂魚涌,太古城 星輝台 金星閣 中層 F室,N/A,25/07/2024,3房,"$27,500",701 呎,$39,N/A
港島東,鰂魚涌,麗灣大廈 7樓 H室,N/A,24/07/2024,-,$313 萬,440 呎,"$7,114",N/A
港島東,鰂魚涌,華蘭花園 玉蘭閣 16樓 C室,N/A,24/07/2024,2房,$500 萬,385 呎,"$12,987",N/A
港島東,鰂魚涌,太古城 海天花園 逸天閣 6樓 D室,N/A,24/07/2024,3房,"$1,083 萬",714 呎,"$15,168",N/A
港島東,鰂魚涌,鯉景灣 A段 觀暉閣 12樓 G室,N/A,24/07/2024,3房,$918 萬,676 呎,"$13,580",N/A
港島東,鰂魚涌,栢蕙苑 祥柏閣 7樓 A室,N/A,23/07/2024,3房,$750 萬,626 呎,"$11,981",N/A
